"match_id","time","home_fault","card","away_fault","info"
24573,"90+5","","yellow card"," Cristante B.",NA
24574,"52","Adjapong C. ","yellow card","",NA
24574,"73","Magnanelli F. ","yellow card","",NA
24574,"80","Magnanelli F. ","red card","",NA
24578,"51","Kean M. ","yellow card","",NA
24578,"80","Fossati M. ","yellow card","",NA
30342,"21","van de Beek D. ","yellow card","",NA
30342,"79","","yellow card"," Faye L.",NA
30342,"80","","yellow card"," Bruns T.",NA
30342,"90+2","","yellow card"," Castaignos L.",NA
30342,"90+2","Huntelaar K. ","yellow card","",NA
30343,"16","","yellow card"," Vuckic H.",NA
30343,"45","te Wierik M. ","yellow card","",NA
30343,"59","Warmerdam D. ","yellow card","",NA
30343,"68","","yellow card"," Bijen P.",NA
30343,"88","","yellow card"," Assaidi O.",NA
30344,"68","","yellow card"," Marcellis D.",NA
30344,"89","Post D. ","yellow card","",NA
30344,"90+4","Leemans C. ","yellow card","",NA
30345,"24","Klaiber S. ","yellow card","",NA
30345,"32","Bahebeck J. ","yellow card","",NA
30345,"48","","yellow card"," Isimat-Mirin N.",NA
30345,"65","","yellow card"," Luckassen D.",NA
30345,"84","Troupee G. ","red card","",NA
41169,"50","Zubeldia E. I. ","yellow card","",NA
41169,"68","Zubeldia E. I. ","red card","",NA
41169,"77","Oyarzabal M. ","yellow card","",NA
41170,"11","Escalante G. ","yellow card","",NA
41170,"18","","yellow card"," Cabral G.",NA
41170,"28","Garcia D. ","yellow card","",NA
41172,"19","Arambarri M. ","yellow card","",NA
45284,"63","","yellow card"," Cinaz S.",NA
45284,"81","Rangel M. ","yellow card","",NA
45286,"45+1","Medjani C. ","red card","",NA
45286,"53","","yellow card"," Jahovic A.",NA
45377,"68","","yellow card"," Basaran I.",NA
41168,"51","Mandi A. ","yellow card","",NA
45372,"29","","yellow card"," Suzen G.",NA
45372,"42","Incedemir Y. ","yellow card","",NA
45372,"46","","yellow card"," Akbay O.",NA
45372,"52","Lingane I. ","yellow card","",NA
45372,"71","","yellow card"," Diniz R.",NA
45372,"80","","yellow card"," Solmaz A.",NA
45372,"87","Demirbag A. ","yellow card","",NA
45372,"89","","yellow card"," Altindag T.",NA
45372,"90+4","","red card"," Yilmaz B.",NA
13423,"23","","yellow card"," Caulker S.",NA
13423,"39","","yellow card"," Luongo M.",NA
